Profile (FG500),,,Details (FG500),,,,,,,,,,RE100,,,SBTi,,,,,,,,,,,,NZ Tracker Definition,,,,,,Carbon Neutral,,,,,,Net Zero,,,,,,,Use of carbon credits,,Other reduction targets,,,,,,Other,,,Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,Last year checks ,,,,,,this year  ,,,,,
2025 Rank,2024 rank,Company name,Sector (Fortune),Sector (final classification),Country,Region,Revenue ($M) usable,Profits ($M) usable,Profits (% change),Assets ($M),Employees,Years on list (2025),RE100 (Y/N),Joining year,Target year,In SBTI database?,"Near Term SBT (Y = yes, N=no)","Target status (T = target set, C = committed, N=No, R=Removed)",Target classification (near term) - temp,Target year (near term) (earlier of the two dates if there were two) ,Long term - Target Status,Long term - Target Classification,Long term - Target Year,"Net zero committed (SBTi) (Y = yes, N = no)",SBTi NZ Target Status,Net zero Target year (SBTi),notes,NZ Tracker_End target (in their words),NZ Tracker Target Grouping,Scope 1,Scope 2,Scope 3,"Carbon neutral scope(s) - Scope 1,2,3 (NZ Tracker)","Carbon neutral commitment (C = company, V = value chain, G= Government, S=Subsidiary,  U = unspecified, N=no)",CN (Y/N),Carbon neutral claim (in their words),Target year,Source,Notes (including climate positive),"Net zero commitment (V = value chain, C = company,  U = unclear, S=Subsidiary)",NZ (Y/N),Primary net zero scope (in their words),Primary net zero claim (in their words),Net zero target year,Source,Notes,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear).1",Removals,Separate Removal Target,"Other reduction target (Y = yes) (either companies w/ no SBT or w/ SBT ""C"")",Target details (Text),Target Year,Source,Notes,Who did it?,When?,Oher Sources,RE100 <=2024,RE100 2025-2030,RE100>2030,All RE,SBTi ST <= 2024,SBTi ST 2025-2030,SBTi ST > 2030,All SBTi ST,SBTi NZ <= 2024,SBTi NZ 2025-2030,SBTi NZ > 2030,Other NZ <= 2024,Other NZ 2025-2030,Other NZ > 2030,CN <= 2024,CN 2025-2030,CN > 2030,All CN,Total NZ <=2024,Total NZ 2025-2030,Total NZ > 2030,All NZ,CN/NZ,Other Emission Reduction <=2024,Other Emission Reduction 2025-2030,Other Emission Reduction > 2030,One of the actions,Carbon Credits (Y),Carbon Credits (No),Carbon Credits (Not Specified),CN already achieved ,CN 2024-2030,CN 2031-2050,Any CN,NZ already achieved,NZ 2024-2030,NZ 2031-2050,Any NZ,SBT already achieved,SBT 2024-2030,SBT 2031-2050,Any SBT,RE100 already achieved,RE100 2024-2030,RE100 2031-2050,Any RE100,CN/NZ - IF THE COMPANY HAS A Ccn or nz target,CN/NZ 2030,CN/NZ 2050,will use cabon credits,will NOT use carbon credits,any target,any target already achived,sbti,nz-sbti,nz,cn,cn-cc,nz-cc,sbti,nz-sbti,nz,cn,cn-cc,nz-cc
492,498,ABB,Industrial Machinery,Industrial goods,Switzerland,Europe,"$32,850","$3,935",0.051,"$40,357",109900,30,Y,2021,2030,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2050,Y,Targets set,2050,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""We chose the ‚ÄúNet Zero Emissions by 2050‚Äù scenario of the International Energy Agency (IEA) as the basis for the transition scenario analysis as it features net zero CO2 energy sector and industrial process emissions in 2050, while achieving universal energy access in 2030."" (pg. 29)
",2050,,,Not Specified,Not Specified,No,N,,,,,,,,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,Y,Yes,V,N,0,R,Y,Targets set,Y,N,Not Specified,
372,376,Abbott Laboratories,Medical Products and Equipment,Health care and pharmaceuticals,U.S.,North America,"$41,950","$13,402",1.342,"$81,414",114000,27,N,,,N,N,,,,,,,,,,,Emissions reduction target,Other Emission Reduction,Yes,Yes,No,"1,2",,N,,,,,,N,,,,,,Not Specified,No,No,Y,"‚Ä¢ Reduce absolute Scope 1 and 2 carbon emissions by 30% from 2018 baseline by the end of 2030, consistent with the objectives of the Science Based Targets initiative (SBTi). 
‚Ä¢ In 2023, 7% absolute reduction in Scope 1 and 2 emissions in 2023 (versus 2018 baseline); the emissions production decreased by 1% compared with 2022.
‚Ä¢ In 2023, a dedicated environmental sustainability capital fund of $15 million annually was established to support the completion of priority energy efficiency projects.

(Sources: Abbott 2030 Sustainability Plan and Global Sustainability Report 2023)",2030,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,Y,No,N,N,0,0,N,,N,N,Not Specified,
249,259,AbbVie,Pharmaceuticals,Health care and pharmaceuticals,U.S.,North America,"$56,334","$4,278",-0.12,"$135,161",55000,10,N,,,Y,Y,Targets set,1.5°C ,2030,,,,,,,,Emissions reduction target,Other Emission Reduction,Yes,Yes,No,"1,2",,N,,,,,,N,,,,,,Not Specified,Not Specified,No,Y,"(p.12) Emissions: Reduce absolute Scope 1 and 2 (market-based) GHG emissions by 42.0% by 2030 from a 2021 base year

Website: https://www.abbvie.com/content/dam/abbvie-com2/pdfs/abbvie-esg-action-report.pdf",2030,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,Y,No,C,N,0,Y,Y,,N,N,Not Specified,
211,211,Accenture,Information Technology Services,Technology,Ireland,Europe,"$64,896.5","$7,264.8",0.057,"$55,932.4",774303,24,Y,2019,2023,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2040,Y,Targets set,2040,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""We continue to work toward our 2025 carbon removal goal by first focusing on reductions across our Scope 1, 2 and 3 emissions and then removing any remaining emissions through nature-based carbon removal projects."" (P.43, 360¬∞ Value Report 2024)",2025,,,Not Specified,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,N,,,,,,,,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,Y,Yes,V,N,0,Y,Y,Targets set,Y,N,Not Specified,
337,391,ACS,Engineering & Construction,Engineering and construction,Spain,Europe,"$45,023.4",$895,0.061,"$43,513.4",157284,21,N,,,N,N,,,,,,,,,,,Emissions reduction target,Other Emission Reduction,Yes,Yes,No,"1,2",,N,,,,,"C,V",Y,,"This is to meet the targets that the ACS Group has set for itself, and to make good on its commitment in its 2025 Strategic Sustainability Plan to achieve the target of zero net emissions by 2045.",2045,https://www.grupoacs.com/ficheros_editor/File/03_accionistas_inversores/06_junta_general_accionistas/2025/05.%20Informaci%C3%B3n%20no%20financiera_ENG.pdf?utm_source=chatgpt.com,,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Y,"Reduction of scope 1 emissions by 35% in 2030, with an intermediate reduction target of at least 15% by 2025 

Reduction of scope 2 emissions by 60% in 2030, with an intermediate reduction target of at least 30% by 2025",2030,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,N,0,N,C,U,0,N,,Y,N,Yes,
207,203,AEON,Food & Drug Stores,Retail,Japan,Asia,"$66,457.7",$188.7,-0.395,"$91,812",392001,31,Y,2018,2030,Y,Y,Targets set,1.5°C ,2030,,,,N,Commitment removed,,,Zero emissions,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3",Reduce total CO2 and other emissions from stores to net-zero by 2040 ,2040,,,Not Specified,Not Specified,No,N,,,,,,,,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,Y,Yes,C,N,0,Y,Y,Commitment removed,Y,N,Not Specified,
30,34,Agricultural Bank of China,Banks: Commercial and Savings,Financial services,China,Asia,"$197,466.4","$39,204.6",0.03,"$5,923,600.2",454716,26,N,,,N,N,,,,,,,,,,,No target,No Target,yes,yes,No,"1,2",G,N,committed to national peak and neutrality targets,2060,https://finance.sina.com.cn/stock/relnews/cn/2025-04-08/doc-inesmepe5162164.shtml,,,N,,,,,,No,No,No,Y,emission reduction ,,https://ditchcarbon.com/organizations/agricultural-bank-of-china,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,G,"Y, g",0,N,,N,N,No,
417,446,AIA Group,"Insurance: Life, Health (stock)",Financial services,China,Asia,"$37,612","$6,836",0.816,"$305,454",27421,10,N,,,Y,Y,Targets set,1.5°C ,2025,,,,,,,,Net zero,Net Zero,Yes,Yes,No,"1,2",,N,,,,,C,Y,"1,2","'In 2021, we became one of the largest life and health insurers in the world to commit to achieving net-zero greenhouse gas (GHG) emissions by 2050' (p7)",2050,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,Y,No,C,N,0,U,Y,,Y,N,Not Specified,
474,496,Air France-KLM Group,Airlines,Transportation and logistics,France,Europe,"$33,996.7",$322.7,-0.716,"$326,031.2",42511,30,N,,,Y,Y,Targets set,Well-below 2¬∞C,2030,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","Air France ‚Äì KLM has a strong commitment towards sustainability, including reaching Net Zero carbon emissions in 2050 by activating, among others, levers on operations, fleet renewal and Sustainable Aviation Fuel.",2050,,,Yes,Yes (unspecified),No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,Y,No,C  ,N,0,U,Y,,Y,N,Yes,
